,name,symbol,currentPrice,r,s,m,v,PE,revenueGrowth,operatingCashflow,freeCashflow,marketValue
0,福壽,1219.TW,19.1,0.00019517184752419154,11.652875551026053,0.00022019397715370077,0.01615660269383577,29.937064052160466,-0.047,840526016,308524864,6327811052.8
0,台榮,1220.TW,13.65,1.4367495408676305e-06,9.72080222297592,1.8113354651399015e-05,0.01732386367495058,74.78785615619736,-0.003,182695008,-40618376,2407846459.2000003
0,福懋油,1225.TW,53.6,0.00035156181158221817,22.159838241616896,0.0003951603815305126,0.020967054353434728,41.95643079560695,-0.086,1046028992,877032896,12308596800.0
0,佳格,1227.TW,38.9,0.0002549400375631065,33.61184351268877,0.0002680748686093965,0.01617342777660204,26.09294659689139,0.055,716038976,-123407376,35337536755.2
0,聯華,1229.TW,60.9,0.0003504175708068459,14.945562241619246,0.0003753815279839184,0.017598067979185443,6.593434123511795,-0.091,3563209984,2940531968,96061224000.0
0,聯華食,1231.TW,86.9,0.00026499047980510986,19.345105069152076,0.00026573356213938906,0.016961442975554672,5.790577148160918,-0.012,844678976,-726594624,21434406400.0
0,大統益,1232.TW,140.5,0.00042703467798548575,61.35112840619508,0.0004361409107781672,0.011649533815104642,10.092001959255745,-0.046,1755474048,1313577472,22476488624.0
0,天仁,1233.TW,35.4,0.00017914952002204135,32.19985459876592,0.00021747732157959625,0.012129746354965807,31.300497227626632,0.239,260326000,191585248,3205434600.0
0,黑松,1234.TW,38.4,8.263417320212476e-05,27.80916737960656,0.00010387877907018328,0.01447184798623378,11.455016074180572,0.148,1558700032,836819008,15431846707.199999
0,興泰,1235.TW,80.5,0.0006673390909661721,12.515037375704676,0.0006851611730583975,0.01787589984274649,12.154583546929322,0.6,-44012000,789047104,2962931300.0
0,宏亞,1236.TW,24.35,0.00022973013695728472,18.900446034501766,0.0002662177872663181,0.015537368620574664,67.61000950291304,0.018,221075008,116922496,2110511900.0000002
0,台塑,1301.TW,79.4,0.00016679950976473322,67.70214203849206,0.00017368754017114743,0.015581847413362538,225.9471329039658,-0.345,32962009088,-22812590080,505439758540.80005
