,symbol,name,foreign_invest,foreign_proprietor,invest_trust,proprietor,total
134,1313,聯成            ,"444,000",0,0,"14,000","458,000"
135,2362,藍天            ,"452,000",0,0,"1,000","453,000"
136,1717,長興            ,"461,010",0,0,"-9,998","451,012"
137,8046,南電            ,"346,156",0,"60,000","43,054","449,210"
138,2889,國票金          ,"467,804",0,0,"-20,000","447,804"
139,6414,樺漢            ,"437,000",0,"51,000","-41,885","446,115"
140,2031,新光鋼          ,"87,000",0,"334,000","17,000","438,000"
141,9802,鈺齊-KY         ,"-17,000",0,"450,000","-7,205","425,795"
142,2888,新光金          ,"822,711",0,0,"-397,762","424,949"
143,3025,星通            ,"416,000",0,0,0,"416,000"
144,00876,元大全球5G      ,"201,000",0,0,"211,051","412,051"
145,3714,富采            ,"393,000",0,0,"17,950","410,950"
146,2323,中環            ,"460,000",0,0,"-49,685","410,315"
147,00918,大華優利高填息30,"26,950",0,0,"383,344","410,294"
148,1808,潤隆            ,"408,950",0,0,125,"409,075"
149,6805,富世達          ,"88,800",0,"313,000","-1,000","400,800"
150,00633L,富邦上証正2     ,"112,000",0,0,"286,422","398,422"
151,2017,官田鋼          ,"392,000",0,0,0,"392,000"
152,6112,邁達特          ,"343,000",0,0,"41,000","384,000"
153,1909,榮成            ,"397,000",0,0,"-17,000","380,000"
154,2208,台船            ,"389,000",0,0,"-10,659","378,341"
155,00631L,元大台灣50正2   ,"777,100",0,0,"-399,878","377,222"
156,4904,遠傳            ,"558,551",0,"15,161","-197,000","376,712"
157,2501,國建            ,"371,000",0,0,"2,000","373,000"
158,4915,致伸            ,"97,000",0,"231,829","38,784","367,613"
159,2314,台揚            ,"366,000",0,0,0,"366,000"
160,1216,統一            ,"418,901",0,"-67,000","10,000","361,901"
161,1455,集盛            ,"358,000",0,0,"2,000","360,000"
162,2049,上銀            ,"285,834",0,"1,064","69,531","356,429"
163,2442,新美齊          ,"349,000",0,0,"6,421","355,421"
164,6202,盛群            ,"360,000",0,"-4,908","-1,000","354,092"
165,2359,所羅門          ,"344,000",0,0,-92,"343,908"
166,2376,技嘉            ,"553,969",0,"-475,500","259,520","337,989"
167,6278,台表科          ,"332,000",0,0,"5,544","337,544"
168,2539,櫻花建          ,"337,000",0,0,"-4,000","333,000"
169,2340,台亞            ,"348,000",0,0,"-15,153","332,847"
170,9958,世紀鋼          ,"421,000",0,0,"-90,949","330,051"
171,8467,波力-KY         ,"342,000",0,0,"-13,000","329,000"
172,1326,台化            ,"345,229",0,0,"-16,262","328,967"
173,3055,蔚華科          ,"324,000",0,0,"-1,000","323,000"
174,3673,TPK-KY          ,"286,000",0,0,"35,544","321,544"
175,2892,第一金          ,"352,844",0,0,"-33,921","318,923"
176,00763U,期街口道瓊銅    ,"57,000",0,0,"258,000","315,000"
177,8271,宇瞻            ,"310,000",0,0,164,"310,164"
178,2332,友訊            ,"277,000",0,0,"30,000","307,000"
179,1714,和桐            ,"299,000",0,0,"2,000","301,000"
180,5225,東科-KY         ,"297,000",0,0,-485,"296,515"
181,3019,亞光            ,"229,997",0,"25,000","39,119","294,116"
182,4142,國光生          ,"290,000",0,0,"3,360","293,360"
183,4961,天鈺            ,"450,050",0,"-71,000","-89,414","289,636"
184,1536,和大            ,"289,000",0,0,596,"289,596"
185,1447,力鵬            ,"285,000",0,0,"3,000","288,000"
186,1760,寶齡富錦        ,"258,000",0,0,"29,998","287,998"
187,2351,順德            ,"272,000",0,0,"13,208","285,208"
188,8081,致新            ,"264,000",0,0,"18,814","282,814"
189,4532,瑞智            ,"286,000",0,0,"-5,189","280,811"
190,2023,燁輝            ,"274,000",0,0,"4,000","278,000"
191,00895,富邦未來車      ,"-83,000",0,0,"358,770","275,770"
192,00701,國泰股利精選30  ,"-29,000",0,0,"302,544","273,544"
193,1227,佳格            ,"271,000",0,0,"2,509","273,509"
194,2104,國際中橡        ,"288,000",0,0,"-16,000","272,000"
195,9907,統一實          ,"269,000",0,0,"2,842","271,842"
196,2233,宇隆            ,"266,000",0,0,"4,051","270,051"
197,3305,昇貿            ,"166,000",0,0,"103,000","269,000"
198,00898,國泰基因免疫革命,"257,000",0,0,"9,738","266,738"
199,3712,永崴投控        ,"247,000",0,0,"12,000","259,000"
200,1310,台苯            ,"256,000",0,0,"1,000","257,000"
201,1532,勤美            ,"234,000",0,0,"22,000","256,000"
202,1104,環泥            ,"268,000",0,0,"-14,000","254,000"
203,2489,瑞軒            ,"250,000",0,0,0,"250,000"
204,6605,帝寶            ,"242,000",0,0,"7,404","249,404"
205,2027,大成鋼          ,"354,000",0,"-72,000","-34,702","247,298"
206,020030,統一智慧電動車N ,0,0,0,"242,000","242,000"
207,00927,群益半導體收益  ,"-39,000",0,0,"276,771","237,771"
208,9924,福興            ,"236,000",0,0,"1,000","237,000"
209,3189,景碩            ,"83,000",0,"136,000","17,744","236,744"
210,3051,力特            ,"234,000",0,0,0,"234,000"
211,0052,富邦科技        ,"36,000",0,0,"197,681","233,681"
212,2316,楠梓電          ,"246,000",0,0,"-14,165","231,835"
213,3338,泰碩            ,"230,000",0,0,"1,002","231,002"
214,3669,圓展            ,"231,000",0,0,0,"231,000"
215,00683L,期元大美元指正2 ,"91,000",0,0,"138,000","229,000"
216,6669,緯穎            ,"212,389",0,"-24,000","37,452","225,841"
217,1810,和成            ,"224,000",0,0,"1,000","225,000"
218,1301,台塑            ,"265,469",0,"23,975","-66,389","223,055"
219,00738U,期元大道瓊白銀  ,"10,000",0,0,"212,000","222,000"
220,4739,康普            ,"212,960",0,0,"9,000","221,960"
221,3591,艾笛森          ,"219,000",0,0,"-1,000","218,000"
222,1708,東鹼            ,"217,090",0,0,899,"217,989"
223,9917,中保科          ,"215,000",0,0,898,"215,898"
224,1434,福懋            ,"211,045",0,0,"4,239","215,284"
225,00708L,期元大S&P黃金正2,"77,000",0,0,"138,000","215,000"
226,00922,國泰台灣領袖50  ,"1,322,065",0,0,"-1,112,492","209,573"
227,2426,鼎元            ,"208,000",0,0,"1,000","209,000"
228,1514,亞力            ,"245,794",0,0,"-37,951","207,843"
229,3209,全科            ,"207,960",0,0,"-1,000","206,960"
230,2338,光罩            ,"129,992",0,0,"76,816","206,808"
231,00752,中信中國50      ,"-552,000",0,0,"753,585","201,585"
232,006206,元大上證50      ,"37,000",0,0,"164,020","201,020"
233,2022,聚亨            ,"202,000",0,0,"-1,000","201,000"
234,6550,北極星藥業-KY   ,"198,000",0,0,"1,123","199,123"
235,2375,凱美            ,"159,000",0,0,"40,005","199,005"
236,1608,華榮            ,"195,000",0,0,"1,000","196,000"
237,8163,達方            ,"226,000",0,"-6,862","-25,042","194,096"
238,1342,八貫            ,"184,000",0,0,"9,002","193,002"
239,2034,允強            ,"191,000",0,0,"1,000","192,000"
240,3138,耀登            ,"205,000",0,0,"-14,000","191,000"
241,1789,神隆            ,"188,000",0,0,"2,000","190,000"
242,8213,志超            ,"186,000",0,0,"1,189","187,189"
243,00930,永豐ESG低碳高息 ,"-7,000",0,0,"192,385","185,385"
244,00892,富邦台灣半導體  ,"495,850",0,0,"-312,212","183,638"
245,3413,京鼎            ,"176,000",0,0,"7,600","183,600"
246,2392,正崴            ,"153,000",0,0,"30,263","183,263"
247,2025,千興            ,"180,000",0,0,0,"180,000"
248,2481,強茂            ,"172,000",0,0,"7,889","179,889"
249,2923,鼎固-KY         ,"173,000",0,0,"3,000","176,000"
250,1201,味全            ,"171,000",0,0,"-1,000","170,000"
251,9946,三發地產        ,"162,000",0,0,"1,000","163,000"
252,3032,偉訓            ,"177,000",0,0,"-14,577","162,423"
253,2030,彰源            ,"161,000",0,0,0,"161,000"
254,020022,元大電動車N     ,0,0,0,"161,000","161,000"
255,2465,麗臺            ,"159,400",0,0,0,"159,400"
256,2851,中再保          ,"164,000",0,0,"-6,166","157,834"
257,1727,中華化          ,"156,000",0,0,-413,"155,587"
258,4977,眾達-KY         ,"155,056",0,0,231,"155,287"
259,2360,致茂            ,"172,705",0,"2,000","-20,054","154,651"
260,2495,普安            ,"153,000",0,0,"1,120","154,120"
261,3149,正達            ,"154,000",0,0,0,"154,000"
262,5388,中磊            ,"138,700",0,0,"14,725","153,425"
263,6901,鑽石投資        ,"151,000",0,0,"2,000","153,000"
264,4763,材料-KY         ,"229,997",0,"-113,544","35,738","152,191"
265,9927,泰銘            ,"148,000",0,0,"4,001","152,001"
266,2537,聯上發          ,"152,000",0,0,0,"152,000"
267,2488,漢平            ,"151,000",0,0,173,"151,173"
268,1409,新纖            ,"150,000",0,0,"1,000","151,000"
269,3312,弘憶股          ,"149,000",0,0,"1,957","150,957"
270,2706,第一店          ,"148,000",0,0,"1,000","149,000"
271,3596,智易            ,"3,000",0,"122,183","22,000","147,183"
272,2630,亞航            ,"149,000",0,0,"-2,000","147,000"
273,1460,宏遠            ,"146,498",0,0,0,"146,498"
274,00655L,國泰中國A50正2  ,"10,000",0,0,"131,969","141,969"
275,2614,東森            ,"140,115",0,0,"1,000","141,115"
276,3003,健和興          ,"128,000",0,0,"13,054","141,054"
277,1304,台聚            ,"136,000",0,0,"2,000","138,000"
278,2101,南港            ,"136,000",0,0,"2,000","138,000"
279,2461,光群雷          ,"134,000",0,0,0,"134,000"
280,3038,全台            ,"133,000",0,0,-9,"132,991"
281,2406,國碩            ,"130,000",0,0,349,"130,349"
282,00901,永豐智能車供應鏈,"7,000",0,0,"121,859","128,859"
283,5284,jpp-KY          ,"126,000",0,0,"1,207","127,207"
284,2020,美亞            ,"122,000",0,0,"1,169","123,169"
285,1449,佳和            ,"123,000",0,0,0,"123,000"
286,1709,和益            ,"122,000",0,0,"1,000","123,000"
287,2007,燁興            ,"120,000",0,0,"1,000","121,000"
288,2438,翔耀            ,"117,000",0,0,"3,000","120,000"
289,1611,中電            ,"120,000",0,0,0,"120,000"
290,3028,增你強          ,"129,000",0,0,"-11,000","118,000"
291,3022,威強電          ,"91,000",0,0,"26,049","117,049"
292,1307,三芳            ,"116,000",0,0,"1,000","117,000"
293,2705,六福            ,"117,000",0,0,0,"117,000"
294,3033,威健            ,"128,000",0,0,"-13,090","114,910"
295,9938,百和            ,"127,000",0,0,"-13,000","114,000"
296,4564,元翎            ,"112,041",0,0,23,"112,064"
297,2511,太子            ,"109,000",0,0,"3,000","112,000"
298,8028,昇陽半導體      ,"111,839",0,0,8,"111,847"
299,2820,華票            ,"119,000",0,0,"-7,180","111,820"
300,3010,華立            ,"127,000",0,0,"-15,446","111,554"
301,00728,第一金工業30    ,"-14,000",0,0,"124,829","110,829"
302,4958,臻鼎-KY         ,"79,950",0,"146,437","-116,925","109,462"
303,4770,上品            ,"-28,000",0,"193,000","-56,086","108,914"
