,Unnamed: 0,代號,股票名稱,上市日,市場別,產業別
399,401,2509,全坤建,1988-05-20,上市,建材營造業
400,402,2511,太子,1991-04-24,上市,建材營造業
401,403,2514,龍邦,1992-09-26,上市,其他業
402,404,2515,中工,1993-03-02,上市,建材營造業
403,405,2516,新建,1993-05-25,上市,建材營造業
404,406,2520,冠德,1993-10-27,上市,建材營造業
405,407,2524,京城,1994-10-18,上市,建材營造業
406,408,2527,宏璟,1995-03-06,上市,建材營造業
407,409,2528,皇普,1995-03-10,上市,建材營造業
408,410,2530,華建,1995-10-12,上市,建材營造業
409,411,2534,宏盛,1996-02-12,上市,建材營造業
410,412,2535,達欣工,1996-03-11,上市,建材營造業
411,413,2536,宏普,1996-03-14,上市,建材營造業
412,414,2537,聯上發,1996-09-06,上市,建材營造業
413,415,2538,基泰,1996-11-01,上市,建材營造業
414,416,2539,櫻花建,1997-07-16,上市,建材營造業
415,417,2540,愛山林,1989-12-26,上市,建材營造業
416,418,2542,興富發,1999-05-03,上市,建材營造業
417,419,2543,皇昌,1999-10-15,上市,建材營造業
418,420,2545,皇翔,2000-09-11,上市,建材營造業
419,421,2546,根基,2000-09-11,上市,建材營造業
420,422,2547,日勝生,2000-12-22,上市,建材營造業
421,423,2548,華固,2002-08-26,上市,建材營造業
422,424,2597,潤弘,2010-03-26,上市,建材營造業
423,425,2601,益航,1965-11-04,上市,貿易百貨業
424,426,2603,長榮,1987-09-21,上市,航運業
425,427,2605,新興,1989-12-08,上市,航運業
426,428,2606,裕民,1990-12-08,上市,航運業
427,429,2607,榮運,1990-12-14,上市,航運業
428,430,2608,嘉里大榮,1990-12-20,上市,航運業
429,431,2609,陽明,1992-04-20,上市,航運業
430,432,2610,華航,1993-02-26,上市,航運業
431,433,2611,志信,1993-10-28,上市,航運業
432,434,2612,中航,1994-10-20,上市,航運業
433,435,2613,中櫃,1995-01-20,上市,航運業
434,436,2614,東森,1995-09-23,上市,其他業
435,437,2615,萬海,1996-05-16,上市,航運業
436,438,2616,山隆,1997-11-08,上市,油電燃氣業
437,439,2617,台航,1998-06-24,上市,航運業
438,440,2618,長榮航,2001-09-17,上市,航運業
439,441,2630,亞航,2018-02-22,上市,航運業
440,442,2633,台灣高鐵,2016-10-27,上市,航運業
441,443,2634,漢翔,2014-08-25,上市,航運業
442,444,2636,台驊投控,2016-12-22,上市,航運業
444,446,2642,宅配通,2013-12-12,上市,航運業
445,447,2645,長榮航太,2023-03-14,上市,航運業
446,448,2701,萬企,1965-03-22,上市,觀光事業
447,449,2702,華園,1965-02-14,上市,觀光事業
448,450,2704,國賓,1982-11-10,上市,觀光事業
449,451,2705,六福,1988-12-24,上市,觀光事業
450,452,2706,第一店,1991-06-25,上市,觀光事業
451,453,2707,晶華,1998-03-09,上市,觀光事業
452,454,2712,遠雄來,2013-12-03,上市,觀光事業
453,455,2722,夏都,2012-03-14,上市,觀光事業
455,457,2727,王品,2012-03-06,上市,觀光事業
456,458,2731,雄獅,2013-09-24,上市,觀光事業
457,459,2739,寒舍,2016-05-19,上市,觀光事業
458,460,2748,雲品,2016-11-23,上市,觀光事業
459,461,2753,八方雲集,2021-09-09,上市,觀光事業
460,462,2801,彰銀,1962-02-15,上市,金融保險業
461,463,2809,京城銀,1983-07-20,上市,金融保險業
462,464,2812,台中銀,1984-05-15,上市,金融保險業
463,465,2816,旺旺保,1992-05-05,上市,金融保險業
464,466,2820,華票,1994-10-26,上市,金融保險業
465,467,2832,台產,1997-09-30,上市,金融保險業
466,468,2834,臺企銀,1998-01-03,上市,金融保險業
467,469,2836,高雄銀,1998-05-18,上市,金融保險業
468,470,2838,聯邦銀,1998-06-29,上市,金融保險業
469,471,2845,遠東銀,1998-11-27,上市,金融保險業
470,472,2849,安泰銀,1999-09-27,上市,金融保險業
471,473,2850,新產,2000-05-22,上市,金融保險業
472,474,2851,中再保,2000-07-06,上市,金融保險業
473,475,2852,第一保,2000-11-28,上市,金融保險業
474,476,2855,統一證,2002-09-16,上市,金融保險業
475,477,2867,三商壽,2012-12-18,上市,金融保險業
476,478,2880,華南金,2001-12-19,上市,金融保險業
477,479,2881,富邦金,2001-12-19,上市,金融保險業
478,480,2882,國泰金,2001-12-31,上市,金融保險業
479,481,2883,開發金,2001-12-28,上市,金融保險業
480,482,2884,玉山金,2002-01-28,上市,金融保險業
481,483,2885,元大金,2002-02-04,上市,金融保險業
482,484,2886,兆豐金,2002-02-04,上市,金融保險業
483,485,2887,台新金,2002-02-18,上市,金融保險業
484,486,2888,新光金,2002-02-19,上市,金融保險業
485,487,2889,國票金,2002-03-26,上市,金融保險業
486,488,2890,永豐金,2002-05-09,上市,金融保險業
487,489,2891,中信金,2002-05-17,上市,金融保險業
488,490,2892,第一金,2003-01-02,上市,金融保險業
489,491,2897,王道銀行,2017-05-05,上市,金融保險業
490,492,2901,欣欣,1976-05-07,上市,貿易百貨業
491,493,2903,遠百,1978-10-11,上市,貿易百貨業
492,494,2904,匯僑,1983-01-05,上市,其他業
493,495,2905,三商,1988-09-19,上市,貿易百貨業
494,496,2906,高林,1989-12-26,上市,貿易百貨業
495,497,2908,特力,1993-02-18,上市,貿易百貨業
496,498,2910,統領,1996-12-30,上市,貿易百貨業
497,499,2911,麗嬰房,1997-01-18,上市,貿易百貨業
498,500,2912,統一超,1997-08-22,上市,貿易百貨業
499,501,2913,農林,1962-02-09,上市,貿易百貨業
500,502,2915,潤泰全,1977-07-20,上市,貿易百貨業
504,506,2945,三商家購,2021-11-30,上市,貿易百貨業
505,507,3002,歐格,2002-01-23,上市,電腦及週邊設備業
506,508,3003,健和興,2002-02-19,上市,電子零組件業
507,509,3004,豐達科,2002-02-25,上市,鋼鐵工業
508,510,3005,神基,2002-02-25,上市,電腦及週邊設備業
509,511,3006,晶豪科,2002-03-04,上市,半導體業
510,512,3008,大立光,2002-03-11,上市,光電業
511,513,3010,華立,2002-07-22,上市,電子通路業
512,514,3011,今皓,2002-07-22,上市,電子零組件業
513,515,3013,晟銘電,2002-09-16,上市,電腦及週邊設備業
514,516,3014,聯陽,2002-10-29,上市,半導體業
515,517,3015,全漢,2002-10-16,上市,電子零組件業
516,518,3016,嘉晶,2002-12-24,上市,半導體業
517,519,3017,奇鋐,2002-09-27,上市,電腦及週邊設備業
518,520,3018,隆銘綠能,2002-08-26,上市,其他電子業
519,521,3019,亞光,2002-08-26,上市,光電業
520,522,3021,鴻名,2002-08-26,上市,電子零組件業
521,523,3022,威強電,2002-08-26,上市,電腦及週邊設備業
522,524,3023,信邦,2002-08-26,上市,電子零組件業
523,525,3024,憶聲,2002-08-26,上市,光電業
524,526,3025,星通,2002-08-26,上市,通信網路業
525,527,3026,禾伸堂,2002-08-26,上市,電子零組件業
526,528,3027,盛達,2002-08-26,上市,通信網路業
527,529,3028,增你強,2002-08-26,上市,電子通路業
528,530,3029,零壹,2002-08-26,上市,資訊服務業
529,531,3030,德律,2002-10-29,上市,其他電子業
530,532,3031,佰鴻,2002-08-26,上市,光電業
531,533,3032,偉訓,2002-08-26,上市,電子零組件業
532,534,3033,威健,2002-08-26,上市,電子通路業
533,535,3034,聯詠,2002-08-26,上市,半導體業
534,536,3035,智原,2002-08-26,上市,半導體業
535,537,3036,文曄,2002-08-26,上市,電子通路業
536,538,3037,欣興,2002-08-26,上市,電子零組件業
537,539,3038,全台,2002-08-26,上市,光電業
538,540,3040,遠見,2002-08-26,上市,其他業
539,541,3041,揚智,2002-08-26,上市,半導體業
540,542,3042,晶技,2002-08-26,上市,電子零組件業
541,543,3043,科風,2002-08-26,上市,其他電子業
542,544,3044,健鼎,2002-08-26,上市,電子零組件業
543,545,3045,台灣大,2002-08-26,上市,通信網路業
544,546,3046,建碁,2002-08-26,上市,電腦及週邊設備業
545,547,3047,訊舟,2002-08-26,上市,通信網路業
546,548,3048,益登,2002-10-01,上市,電子通路業
547,549,3049,和鑫,2002-09-27,上市,光電業
548,550,3050,鈺德,2002-10-29,上市,光電業
549,551,3051,力特,2002-10-28,上市,光電業
550,552,3052,夆典,1995-11-25,上市,建材營造業
551,553,3054,立萬利,2002-11-18,上市,半導體業
552,554,3055,蔚華科,2002-12-12,上市,電子通路業
553,555,3056,總太,2003-03-03,上市,建材營造業
554,556,3057,喬鼎,2002-12-18,上市,電腦及週邊設備業
555,557,3058,立德,2002-12-09,上市,電子零組件業
556,558,3059,華晶科,2002-12-24,上市,光電業
557,559,3060,銘異,2003-04-21,上市,電腦及週邊設備業
558,560,3062,建漢,2003-07-28,上市,通信網路業
559,561,3090,日電貿,2007-12-31,上市,電子零組件業
560,562,3092,鴻碩,2021-05-13,上市,電子零組件業
561,563,3094,聯傑,2007-08-06,上市,半導體業
562,564,3130,一零四,2006-02-17,上市,資訊服務業
563,565,3138,耀登,2020-12-11,上市,通信網路業
564,566,3149,正達,2011-11-23,上市,光電業
